# Sensor Masthugget, Majorna-Linné, Sweden (Citizen Science project sensor.community/13439)
# https://aqicn.org/station/@60853/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-09-25T00:00:00.000Z,0.65,18.17,1.27,1.02,1.92,1.266,349
2020-09-26T00:00:00.000Z,0.6,7.33,1.9,1.23,3.03,1.873,273
2020-09-27T00:00:00.000Z,6.1,10.6,8.08,7.49,8.88,0.999,229
2020-09-28T00:00:00.000Z,1.45,11.8,7.08,5.86,7.58,1.99,269
2020-09-29T00:00:00.000Z,0.8,18.82,1.8,1.4,3.35,1.663,258
2020-09-30T00:00:00.000Z,1.7,9.8,3.47,2.97,5.44,1.914,389
2020-10-01T00:00:00.000Z,1.1,8.6,3.27,2.42,4.8,1.577,306
2020-10-02T00:00:00.000Z,3.4,18.85,5.92,4.45,8.1,4.331,275
2020-10-03T00:00:00.000Z,3.1,18.48,5.99,4.75,10.5,4.347,254
2020-10-04T00:00:00.000Z,0.3,13.13,3.85,3,8.1,3.397,311
2020-10-05T00:00:00.000Z,0.37,3.12,0.9,0.68,1.2,0.475,318
2020-10-06T00:00:00.000Z,0.56,5.97,1.95,1.35,2.8,0.971,335
2020-10-07T00:00:00.000Z,0.42,8.94,1.8,1.07,3.59,1.891,320
2020-10-08T00:00:00.000Z,0.3,1.75,0.93,0.75,1.1,0.256,321
2020-10-09T00:00:00.000Z,0.3,1.6,0.8,0.6,0.97,0.247,352
2020-10-10T00:00:00.000Z,0.2,3.7,0.6,0.5,0.77,0.308,414
2020-10-11T00:00:00.000Z,0.2,7.47,0.73,0.5,1.1,0.754,428
2020-10-12T00:00:00.000Z,0.2,2.93,0.9,0.61,1.7,0.612,344
2020-10-13T00:00:00.000Z,0.2,3.1,0.93,0.6,1.3,0.483,421
2020-10-14T00:00:00.000Z,0.1,1.4,0.4,0.3,0.56,0.174,398
2020-10-15T00:00:00.000Z,0,3.03,0.4,0.3,0.7,0.618,404
2020-10-16T00:00:00.000Z,0.1,20.3,1.1,0.6,1.6,1.449,429
2020-10-17T00:00:00.000Z,0,23.9,1.27,0.77,1.83,2.905,430
2020-10-18T00:00:00.000Z,0,73.7,0.33,0.2,0.73,4.251,441
